,level_0,index,name_model,auc_mean,lower_auc_mean,upper_auc_mean,time,recall,f1_score,precision,accuracy,n_iter,time,columns,model
0,0,18,GradientBoostingClassifier,0.8519227422003284,0.7648328267236149,0.9390126576770419,563.3514080047607s,0.6341463414634146,0.7222222222222222,0.8387096774193549,0.7727272727272727,50,563.3514080047607s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=9,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=1, min_samples_split=10,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
1,1,12,GradientBoostingClassifier,0.8507679424816521,0.7644958533790378,0.9370400315842664,533.0901281833649s,0.6585365853658537,0.7012987012987012,0.75,0.7386363636363636,100,533.0901281833649s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=8,
                           max_features='sqrt', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=23, min_samples_split=31,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
2,2,25,GradientBoostingClassifier,0.8475986042692939,0.7533626252176775,0.9418345833209103,1178.4524159431458s,0.7073170731707317,0.7532467532467532,0.8055555555555556,0.7840909090909091,100,1178.4524159431458s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=5,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=13, min_samples_split=29,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
3,3,23,RandomForestClassifier,0.846773973727422,0.7409098454362226,0.9526381020186214,638.4242544174194s,0.5853658536585366,0.6575342465753423,0.75,0.7159090909090909,100,638.4242544174194s,105,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=6, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=42, min_samples_split=107,
                       min_weight_fraction_leaf=0.0, n_estimators=127,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
4,4,4,GradientBoostingClassifier,0.8466737071172556,0.7773057328652034,0.9160416813693079,417.1373927593231s,0.6585365853658537,0.7397260273972602,0.84375,0.7840909090909091,50,417.1373927593231s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=9,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=12, min_samples_split=4,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
5,5,9,RandomForestClassifier,0.8415082565284179,0.7335693961635935,0.9494471168932422,507.1862711906433s,0.5853658536585366,0.676056338028169,0.8,0.7386363636363636,100,507.1862711906433s,105,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=6, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=34, min_samples_split=104,
                       min_weight_fraction_leaf=0.0, n_estimators=111,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
6,6,11,GradientBoostingClassifier,0.8412901092336575,0.7539118726512276,0.9286683458160875,858.6140098571777s,0.7073170731707317,0.7160493827160495,0.725,0.7386363636363636,100,858.6140098571777s,105,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mae', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=5,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=20, min_samples_split=22,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
7,7,16,RandomForestClassifier,0.8373933087027915,0.7394310555188113,0.9353555618867717,308.96173453330994s,0.5853658536585366,0.6857142857142856,0.8275862068965517,0.75,50,308.96173453330994s,105,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=7, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=42, min_samples_split=90,
                       min_weight_fraction_leaf=0.0, n_estimators=79,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
8,8,19,GradientBoostingClassifier,0.8365359605911331,0.7581717472729359,0.9149001739093303,368.7677731513977s,0.7317073170731707,0.7499999999999999,0.7692307692307693,0.7727272727272727,50,368.7677731513977s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='exponential', max_depth=9,
                           max_features='log2', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=32, min_samples_split=43,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
9,9,2,RandomForestClassifier,0.835693271036013,0.7602158211424257,0.9111707209296003,251.74771642684937s,0.5609756097560976,0.6666666666666667,0.8214285714285714,0.7386363636363636,50,251.74771642684937s,105,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=7, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=42, min_samples_split=90,
                       min_weight_fraction_leaf=0.0, n_estimators=79,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
10,10,26,GradientBoostingClassifier,0.8305266009852216,0.7318368119915443,0.9292163899788989,745.3325774669647s,0.6829268292682927,0.7088607594936709,0.7368421052631579,0.7386363636363636,100,745.3325774669647s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='friedman_mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=4,
                           max_features='auto', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=41, min_samples_split=25,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
11,11,5,GradientBoostingClassifier,0.828038167776071,0.7552261573279055,0.9008501782242364,273.2905824184418s,0.6585365853658537,0.675,0.6923076923076923,0.7045454545454546,50,273.2905824184418s,15,"GradientBoostingClassifier(ccp_alpha=0.0, criterion='mse', init=None,
                           learning_rate=0.1, loss='deviance', max_depth=8,
                           max_features='sqrt', max_leaf_nodes=None,
                           min_impurity_decrease=0.0, min_impurity_split=None,
                           min_samples_leaf=23, min_samples_split=31,
                           min_weight_fraction_leaf=0.0, n_estimators=100,
                           n_iter_no_change=None, presort='deprecated',
                           random_state=None, subsample=1.0, tol=0.0001,
                           validation_fraction=0.1, verbose=0,
                           warm_start=False)"
12,12,10,RandomForestClassifier,0.8237038103771976,0.7051468430767617,0.9422607776776336,498.3112714290619s,0.6341463414634146,0.6753246753246753,0.7222222222222222,0.7159090909090909,100,498.3112714290619s,15,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=8, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=32, min_samples_split=44,
                       min_weight_fraction_leaf=0.0, n_estimators=76,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
13,13,17,RandomForestClassifier,0.8194596469622332,0.7235713664832927,0.9153479274411737,304.42045402526855s,0.6097560975609756,0.6944444444444445,0.8064516129032258,0.75,50,304.42045402526855s,15,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='entropy', max_depth=8, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=39, min_samples_split=110,
                       min_weight_fraction_leaf=0.0, n_estimators=125,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
14,14,24,RandomForestClassifier,0.8184988916256155,0.7024862453152341,0.934511537935997,629.2713484764099s,0.6829268292682927,0.7272727272727273,0.7777777777777778,0.7613636363636364,100,629.2713484764099s,15,"RandomForestClassifier(bootstrap=False, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=8, max_features='auto',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=32, min_samples_split=44,
                       min_weight_fraction_leaf=0.0, n_estimators=76,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
15,15,3,RandomForestClassifier,0.8136400729646697,0.7336533822120642,0.8936267637172751,242.989595413208s,0.6585365853658537,0.6923076923076923,0.7297297297297297,0.7272727272727273,50,242.989595413208s,15,"RandomForestClassifier(bootstrap=True, ccp_alpha=0.0, class_weight=None,
                       criterion='gini', max_depth=6, max_features='log2',
                       max_leaf_nodes=None, max_samples=None,
                       min_impurity_decrease=0.0, min_impurity_split=None,
                       min_samples_leaf=37, min_samples_split=86,
                       min_weight_fraction_leaf=0.0, n_estimators=91,
                       n_jobs=None, oob_score=False, random_state=None,
                       verbose=0, warm_start=False)"
16,16,15,SVC,0.7494291050903118,0.62980779830947,0.8690504118711536,61.10264992713928s,0.5365853658536586,0.6376811594202899,0.7857142857142857,0.7159090909090909,50,61.10264992713928s,105,"SVC(C=1.0, break_ties=False, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)"
17,17,1,SVC,0.7468303038061103,0.6338230532206474,0.8598375543915732,46.568947076797485s,0.5365853658536586,0.6376811594202899,0.7857142857142857,0.7159090909090909,50,46.568947076797485s,105,"SVC(C=1.0, break_ties=False, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='scale', kernel='rbf',
    max_iter=-1, probability=False, random_state=None, shrinking=True,
    tol=0.001, verbose=False)"
